lr,Nodes per layer,Number of layers,Dropout,Batch size,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration
0.001,2000,1,0,2048,2,0.206111233,0.469421851,0.59753792,0.724686744,3.69172289,3.993246571,281
0.001,2000,1,0,2048,3,0.211782809,0.476016707,0.604044845,0.73374368,3.647166471,3.181646909,281
0.001,2000,1,0.25,128,1,0.194152561,0.453506265,0.588305122,0.720597934,3.690275906,3.789478322,314
0.001,2000,1,0.25,128,2,0.193537041,0.462035612,0.59938448,0.739415256,3.751291472,2.201476867,313
0.001,2000,1,0.25,128,3,0.201275005,0.469158057,0.608309519,0.746449769,3.869896216,1.471243528,314
0.001,2000,1,0.25,256,1,0.207210376,0.46656408,0.596131018,0.722752253,3.659822791,4.041528601,289
0.001,2000,1,0.25,256,2,0.185491317,0.455308859,0.586326665,0.72442295,3.743917034,2.544025649,294
0.001,2000,1,0.25,256,3,0.191338756,0.454869202,0.594680149,0.736117828,3.836604027,1.762209265,326
0.001,2000,1,0.25,512,1,0.197186195,0.462431304,0.583380963,0.708727193,3.720705128,4.385271402,286
0.001,2000,1,0.25,512,2,0.184524071,0.439613102,0.575291273,0.715366015,3.748524602,2.978122999,283
0.001,2000,1,0.25,512,3,0.183161134,0.447746758,0.586678391,0.730138492,3.7827241,2.166621529,282
0.001,2000,1,0.25,1024,1,0.208001759,0.471004616,0.594724115,0.724510882,3.714467878,4.660496564,277
0.001,2000,1,0.25,1024,2,0.194460321,0.468762365,0.599824137,0.728819521,3.647897834,3.577241148,278
0.001,2000,1,0.25,1024,3,0.184480106,0.463662343,0.599428446,0.730314355,3.698811987,2.771404601,280
0.001,2000,1,0.25,2048,1,0.036183777,0.083446911,0.104638382,0.127544515,7.829482277,5.18764765,280
0.001,2000,1,0.25,2048,2,0.207430204,0.479665861,0.602813805,0.728643658,3.822319508,4.959159491,279
0.001,2000,1,0.25,2048,3,0.220883711,0.4839745,0.609408661,0.735634205,3.689673146,4.235474396,278
0.001,2000,1,0.5,128,1,0.188920642,0.432798417,0.563420532,0.697647835,3.757336533,4.129340801,310
0.001,2000,1,0.5,128,2,0.183336997,0.435568257,0.569619697,0.711321169,3.816688866,2.604768234,309
0.001,2000,1,0.5,128,3,0.180918883,0.448582106,0.584963728,0.727060893,3.914088309,1.829209113,309
0.001,2000,1,0.5,256,1,0.188349088,0.43574412,0.571158496,0.708947021,3.749142907,4.320130477,286
0.001,2000,1,0.5,256,2,0.191734447,0.453989888,0.585403385,0.724554847,3.753833832,2.874531552,285
0.001,2000,1,0.5,256,3,0.186326665,0.454077819,0.589052539,0.727412618,3.855221148,2.092276087,285
0.001,2000,1,0.5,512,1,0.194592218,0.464145966,0.593229281,0.719147065,3.743148194,4.550642264,277
0.001,2000,1,0.5,512,2,0.1694878,0.403429325,0.528907452,0.662870961,4.049371046,4.00844542,278
0.001,2000,1,0.5,512,3,0.157309299,0.423697516,0.55238514,0.683315014,3.864781369,4.132746536,277
0.001,2000,1,0.5,1024,1,0.195119807,0.476544295,0.603868982,0.730622115,3.730259263,4.795853106,279
0.001,2000,1,0.5,1024,2,0.162541218,0.439349308,0.578412838,0.719147065,4.068886249,4.188434333,279
0.001,2000,1,0.5,1024,3,0.18944823,0.455616619,0.585755111,0.718047923,3.706977025,3.657265918,281
0.001,2000,1,0.5,2048,1,0.19876896,0.468894262,0.601450868,0.735062651,3.910788,5.054896673,279
0.001,2000,1,0.5,2048,2,0.187865465,0.467311497,0.600219829,0.728204001,3.725910326,4.106865496,280
0.001,2000,1,0.5,2048,3,0.190635304,0.463486481,0.596262915,0.728379864,3.67490689,3.408987861,278
