lr,Batch size,Number of layers,Nodes per layer,Kernel size,F1 size,F2 size,Dropout,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,Kernel size 2
0.001,256,1,1000,4,32,64,0,2,0.188656848,0.477687404,0.625456144,0.75955155,3.618179905,1.996871876,1
0.001,256,1,1000,4,32,64,0,3,0.198329303,0.487843482,0.629676852,0.762409321,3.67690231,1.445696841,1
0.001,256,1,1000,4,32,64,0.25,1,0.1832051,0.450252803,0.588568916,0.72257639,3.695151959,3.907422928,1
0.001,256,1,1000,4,32,64,0.25,2,0.178720598,0.447438998,0.584919763,0.724686744,3.71452525,2.650236445,1
0.001,256,1,1000,4,32,64,0.25,3,0.188656848,0.464893383,0.605451748,0.742404924,3.709566282,2.141255452,1
0.001,256,1,1000,4,32,64,0,1,0.185447351,0.462783029,0.597977577,0.735634205,3.640678529,4.142049704,2
0.001,256,1,1000,4,32,64,0,2,0.201055177,0.49830732,0.633457903,0.760386898,3.546848056,2.213285567,2
0.001,256,1,1000,4,32,64,0,3,0.206067268,0.486392614,0.624313036,0.755638602,3.622306583,1.570949404,2
0.001,256,1,1000,4,32,64,0.25,1,0.184392174,0.455264893,0.590283579,0.723367773,3.697096444,4.335871759,2
0.001,256,1,1000,4,32,64,0.25,2,0.176786107,0.443877775,0.582721477,0.720773796,3.724592549,2.896156407,2
0.001,256,1,1000,4,32,64,0.25,3,0.181710266,0.453726094,0.592877556,0.732292812,3.730187914,2.315032889,2
0.001,256,1,1000,4,32,64,0,1,0.16610244,0.457463179,0.597493955,0.729171246,3.739500158,4.623310459,4
0.001,256,1,1000,4,32,64,0,2,0.171730051,0.460189053,0.604968125,0.742492856,3.674083892,2.89567195,4
0.001,256,1,1000,4,32,64,0,3,0.164651572,0.456759727,0.601978457,0.745746318,3.759630533,1.953380396,4
0.001,256,1,1000,4,32,64,0.25,1,0.173928336,0.458386459,0.590327545,0.720685865,3.754101954,4.729979712,4
0.001,256,1,1000,4,32,64,0.25,2,0.167597274,0.440932073,0.579336118,0.723103979,3.724116242,3.304573131,4
0.001,256,1,1000,4,32,64,0.25,3,0.177225764,0.442470873,0.580611123,0.720334139,3.750730986,2.578430572,4
0.001,256,1,1500,1,32,64,0,1,0.226291493,0.499934051,0.626950978,0.755242911,3.487434084,3.907808834,1
0.001,256,1,1500,1,32,64,0,2,0.220488019,0.503187514,0.639788965,0.767157617,3.506328725,1.873404824,1
0.001,256,1,1500,1,32,64,0,3,0.221982853,0.521389316,0.654341614,0.775555067,3.564402829,1.191206352,1
0.001,256,1,1500,1,32,64,0.25,1,0.207034513,0.459177841,0.584612003,0.719718619,3.657195276,3.996734223,1
0.001,256,1,1500,1,32,64,0.25,2,0.201143108,0.462123544,0.598988789,0.735941965,3.657461641,2.452687374,1
0.001,256,1,1500,1,32,64,0.25,3,0.191162893,0.463838206,0.601802594,0.742492856,3.728012741,1.896109506,1
0.001,256,1,1500,1,32,64,0,1,0.207386239,0.478610684,0.607693999,0.731237635,3.600871016,4.520668795,2
0.001,256,1,1500,1,32,64,0,2,0.204220708,0.485381403,0.625456144,0.759287756,3.540306276,2.677542783,2
0.001,256,1,1500,1,32,64,0,3,0.224400967,0.509870301,0.643657947,0.769927457,3.562430687,1.619864058,2
0.001,256,1,1500,1,32,64,0.25,1,0.19375687,0.467839086,0.598637063,0.72534623,3.665056221,4.522976053,2
0.001,256,1,1500,1,32,64,0.25,2,0.202857771,0.472939107,0.600791383,0.733963508,3.63145342,2.971896121,2
0.001,256,1,1500,1,32,64,0.25,3,0.187953396,0.466168389,0.602725874,0.737700594,3.694937717,2.299986476,2
0.001,256,1,1500,1,32,64,0,1,0.204220708,0.467135634,0.59314135,0.718971202,3.656548639,4.526898714,4
0.001,256,1,1500,1,32,64,0,2,0.211211255,0.501165091,0.635963948,0.763332601,3.551291144,2.278229971,4
0.001,256,1,1500,1,32,64,0,3,0.21771818,0.506484942,0.640932073,0.768696417,3.615082567,1.356892701,4
0.001,256,1,1500,1,32,64,0.25,1,0.196438778,0.465992526,0.590459442,0.71694878,3.760263689,4.930324965,4
0.001,256,1,1500,1,32,64,0.25,2,0.185843042,0.43890965,0.573136953,0.712640141,3.720167937,3.327424885,4
0.001,256,1,1500,1,32,64,0.25,3,0.194899978,0.451351945,0.582237854,0.724378984,3.696970554,2.49794134,4
0.001,256,1,1500,2,32,64,0,1,0.201582765,0.450120906,0.572389536,0.704550451,3.740153232,4.261784399,1
0.001,256,1,1500,2,32,64,0,2,0.204000879,0.47557705,0.605056056,0.734622994,3.667732507,1.992995432,1
0.001,256,1,1500,2,32,64,0,3,0.202945702,0.481160695,0.616443174,0.746449769,3.741950986,1.155711438,1
0.001,256,1,1500,2,32,64,0.25,1,0.192306001,0.462343372,0.597318092,0.731061772,3.663251539,4.184418481,1
0.001,256,1,1500,2,32,64,0.25,2,0.19283359,0.450428666,0.583293031,0.721081556,3.702148376,2.661981769,1
0.001,256,1,1500,2,32,64,0.25,3,0.200967246,0.464058035,0.596482743,0.736161794,3.703544815,2.080035582,1
0.001,256,1,1500,2,32,64,0,1,0.188173225,0.468806331,0.603781051,0.735722137,3.645215578,4.356886477,2
0.001,256,1,1500,2,32,64,0,2,0.198241372,0.482963289,0.623785447,0.75585843,3.593380955,2.25617056,2
0.001,256,1,1500,2,32,64,0,3,0.196350846,0.494658167,0.631699275,0.766673994,3.635309118,1.475374083,2
0.001,256,1,1500,2,32,64,0.25,1,0.183336997,0.464849417,0.596350846,0.724027259,3.709252149,4.543952785,2
0.001,256,1,1500,2,32,64,0.25,2,0.191162893,0.463310618,0.598373269,0.73466696,3.658408411,3.001437381,2
0.001,256,1,1500,2,32,64,0.25,3,0.183556826,0.454297648,0.592306001,0.733567817,3.718547617,2.290641863,2
0.001,256,1,1500,2,32,64,0,1,0.171510222,0.466783909,0.606199165,0.73528248,3.670851938,4.552739178,4
0.001,256,1,1500,2,32,64,0,2,0.202066388,0.481380523,0.620883711,0.752648934,3.598322033,2.441470239,4
0.001,256,1,1500,2,32,64,0,3,0.202813805,0.492327984,0.632270829,0.756386019,3.650830194,1.519421825,4
0.001,256,1,1500,2,32,64,0.25,1,0.169311937,0.440184656,0.576478347,0.70855133,3.790517544,4.781168855,4
0.001,256,1,1500,2,32,64,0.25,2,0.173444713,0.448582106,0.585755111,0.720861728,3.700820446,3.23647857,4
0.001,256,1,1500,2,32,64,0.25,3,0.181094746,0.453374368,0.58914047,0.728423829,3.712723459,2.524219689,4
0.001,256,1,1500,4,32,64,0,1,0.19129479,0.473466696,0.61085953,0.746713563,3.607546568,3.710250165,1
0.001,256,1,1500,4,32,64,0,2,0.20901297,0.488239173,0.626335458,0.758100681,3.580295035,1.908334189,1
0.001,256,1,1500,4,32,64,0,3,0.210068147,0.48489778,0.622774236,0.758408441,3.668216914,1.348624886,1
0.001,256,1,1500,4,32,64,0.25,1,0.175994724,0.4687184,0.607869862,0.738404045,3.696235308,4.537356235,1
0.001,256,1,1500,4,32,64,0.25,2,0.165970543,0.453418334,0.598417235,0.733172126,3.70872415,2.975117364,1
0.001,256,1,1500,4,32,64,0.25,3,0.167905034,0.450428666,0.594899978,0.736249725,3.773512607,2.181860763,1
0.001,256,1,1500,4,32,64,0,1,0.175599033,0.465684766,0.603956914,0.736689382,3.650309565,3.921954861,2
0.001,256,1,1500,4,32,64,0,2,0.170938668,0.455264893,0.601450868,0.745394592,3.700577294,2.105924237,2
0.001,256,1,1500,4,32,64,0,3,0.183776654,0.47557705,0.61956474,0.753836008,3.725865699,1.454209777,2
0.001,256,1,1500,4,32,64,0.25,1,0.163684326,0.429017366,0.565135195,0.703934931,3.792090156,4.168453772,2
0.001,256,1,1500,4,32,64,0.25,2,0.174148164,0.43574412,0.576434381,0.721872939,3.784952748,2.542958175,2
0.001,256,1,1500,4,32,64,0.25,3,0.183249066,0.454825236,0.595251704,0.735546274,3.799277895,1.946720175,2
0.001,256,1,1500,4,32,64,0,1,0.188524951,0.457902836,0.591822379,0.721960871,3.664111226,4.281673867,4
0.001,256,1,1500,4,32,64,0,2,0.191954276,0.478258958,0.62273027,0.754495494,3.62852347,2.205281122,4
0.001,256,1,1500,4,32,64,0,3,0.197098263,0.488371071,0.629457024,0.759023961,3.673902169,1.442868351,4
0.001,256,1,1500,4,32,64,0.25,1,0.156122225,0.429984612,0.568212794,0.704990108,3.823537009,4.724857409,4
0.001,256,1,1500,4,32,64,0.25,2,0.178061112,0.441239833,0.579072324,0.716509123,3.759539393,2.970265441,4
0.001,256,1,1500,4,32,64,0.25,3,0.194284458,0.459881293,0.597449989,0.736601451,3.747827554,2.213552991,4
