lr,F1 size,F2 size,Window size,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration
0.001,4,128,0.08,3,0.169215212,0.453849198,0.582580787,0.722347769,4.379236295,5.208984329,267
0.001,4,128,0.2,1,0.161653111,0.439340514,0.5728204,0.709465817,4.512449752,5.626258861,406
0.001,4,128,0.2,2,0.160553968,0.446726753,0.582273027,0.71619257,4.414545282,5.256589852,408
0.001,4,128,0.2,3,0.168204001,0.453585403,0.58869202,0.726172785,4.358979119,5.223983633,409
0.001,4,128,0.4,1,0.162312596,0.432349967,0.571369532,0.70841064,4.544803789,5.634120588,701
0.001,4,128,0.4,2,0.162136733,0.441011211,0.576557485,0.715664981,4.415958828,5.262353956,701
0.001,4,128,0.4,3,0.160026379,0.452706089,0.576997142,0.718171027,4.408044434,5.243016522,701
0.001,8,16,0.04,1,0.153167729,0.38244889,0.473106177,0.587065289,5.240507497,5.768500438,146
0.001,8,16,0.04,2,0.155322049,0.430459442,0.55664102,0.690780391,4.63504449,5.411730643,146
0.001,8,16,0.04,3,0.155278083,0.445187953,0.563323807,0.702826995,4.59210665,5.335896937,146
0.001,8,16,0.08,1,0.143099582,0.359850517,0.468929435,0.589087712,5.345421092,5.781673766,187
0.001,8,16,0.08,2,0.150925478,0.42443614,0.556377226,0.694253682,4.639402358,5.425928062,187
0.001,8,16,0.08,3,0.156992746,0.440439657,0.569654869,0.704541658,4.580554952,5.334361901,187
0.001,8,16,0.2,1,0.118830512,0.285108815,0.401178281,0.543890965,5.353474871,5.7795179,318
0.001,8,16,0.2,2,0.142791822,0.402321389,0.546484942,0.689549352,4.65455068,5.422480291,318
0.001,8,16,0.2,3,0.148419433,0.42289734,0.558883271,0.701332161,4.594159762,5.327874811,318
0.001,8,16,0.4,1,0.108322708,0.306124423,0.42228182,0.550353924,5.387555885,5.774721081,561
0.001,8,16,0.4,2,0.149210816,0.420699055,0.558663443,0.685152781,4.661163584,5.44554843,560
0.001,8,16,0.4,3,0.148419433,0.434856012,0.567720378,0.698386459,4.602027289,5.338800294,559
0.001,8,32,0.04,1,0.125293471,0.375546274,0.532855573,0.677546714,4.97300735,5.714428738,155
0.001,8,32,0.04,2,0.156509123,0.440175863,0.574139371,0.710257199,4.531994798,5.335159819,154
0.001,8,32,0.04,3,0.155937569,0.451387118,0.574930754,0.711708068,4.509297159,5.297079678,155
0.001,8,32,0.08,1,0.146265113,0.415335239,0.559498791,0.696979556,4.857518419,5.692448447,198
0.001,8,32,0.08,2,0.155190152,0.452706089,0.578491976,0.714565839,4.516995091,5.325246615,198
0.001,8,32,0.08,3,0.162620356,0.460619916,0.582492856,0.718918444,4.481989723,5.294084077,198
0.001,8,32,0.2,1,0.122919323,0.384954935,0.534570235,0.669017366,4.998375193,5.71948311,332
0.001,8,32,0.2,2,0.153783249,0.440483623,0.569171246,0.706080457,4.530063947,5.337090985,333
0.001,8,32,0.2,3,0.154970323,0.449056936,0.575634205,0.713027039,4.505854649,5.295464299,336
0.001,8,32,0.4,1,0.1560255,0.399375687,0.531316773,0.661147505,5.056571759,5.724963949,590
0.001,8,32,0.4,2,0.154222906,0.441890525,0.568160035,0.704453726,4.513397768,5.324203033,593
0.001,8,32,0.4,3,0.158443614,0.449716421,0.579591119,0.712851176,4.470116764,5.248087446,588
0.001,8,64,0.04,1,0.157828094,0.447298307,0.573875577,0.710081337,4.548005623,5.621302302,187
0.001,8,64,0.04,2,0.16442295,0.452969883,0.584119587,0.720325346,4.448033566,5.282396716,186
0.001,8,64,0.04,3,0.163763464,0.460707848,0.584910969,0.720457243,4.421969297,5.258361632,185
0.001,8,64,0.08,1,0.160641899,0.443781051,0.57343592,0.707223566,4.582105382,5.623106209,241
0.001,8,64,0.08,2,0.164554847,0.451519015,0.578579908,0.71403825,4.450892946,5.286963385,239
0.001,8,64,0.08,3,0.165214333,0.455475929,0.578711805,0.718522752,4.434703149,5.258898473,240
0.001,8,64,0.2,1,0.157344471,0.42074302,0.552332381,0.695308859,4.683034176,5.658398872,396
0.001,8,64,0.2,2,0.152508244,0.438900857,0.569786766,0.706476149,4.476941395,5.28449885,395
0.001,8,64,0.2,3,0.160861728,0.449540558,0.575678171,0.712719279,4.452533065,5.264256501,396
0.001,8,64,0.4,1,0.188780445,0.456607755,0.593950585,0.71354678,4.674000645,5.661418063,27536
0.001,8,64,0.4,2,0.197309417,0.463905742,0.601336499,0.712575,4.448935699,5.283107661,27520
0.001,8,64,0.4,3,0.189923503,0.456871538,0.59949002,0.7085648,4.406484244,5.246592026,27588
0.001,8,128,0.04,1,0.16565399,0.459169048,0.579898879,0.713598593,4.423869716,5.568115376,225
0.001,8,128,0.04,2,0.162620356,0.452046604,0.580338536,0.716148604,4.430354023,5.263669068,227
0.001,8,128,0.04,3,0.163983293,0.460444054,0.581701473,0.718962409,4.41083765,5.25136175,231
0.001,8,128,0.08,1,0.170270389,0.455651792,0.579766982,0.72366674,4.414597172,5.549158319,294
0.001,8,128,0.08,2,0.17405144,0.456838866,0.58244889,0.722963289,4.380806796,5.227212003,292
0.001,8,128,0.08,3,0.176073862,0.458201803,0.588252363,0.726612442,4.37168328,5.196205562,293
0.001,8,128,0.2,1,0.158047923,0.454156958,0.576733348,0.71434601,4.436285824,5.559232639,489
0.001,8,128,0.2,2,0.161345351,0.447825896,0.576909211,0.714829633,4.411611324,5.258383376,488
0.001,8,128,0.2,3,0.167896241,0.456267311,0.585130798,0.720721038,4.374873787,5.230320221,488
0.001,8,128,0.4,1,0.169215212,0.439648274,0.578096285,0.711927896,4.530879762,5.623521698,859
0.001,8,128,0.4,2,0.169522972,0.451431084,0.580162673,0.722655529,4.370062002,5.218215305,858
0.001,8,128,0.4,3,0.174798857,0.452442295,0.581701473,0.723007254,4.350028483,5.166970542,857
